set n:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17  18  19  20  21  22  23  24  25  26  27  28 29  30  31  32  33  34;
set e:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17  18  19  20  21  22  23  24  25  26  27  28 29  30  31  32  33  34;

set m:= 1 2 3 4;
set k:= 1 2 3 4;

param delta:= 
1	16
2	9
3	10
4	6
5	3
6	4
7	4
8	4
9	5
10	2
11	3
12	1
13	2
14	5
15	2
16	2
17	2
18	2
19	2
20	3
21	2
22	2
23	2
24	5
25	3
26	3
27	2
28	4
29	3
30	4
31	4
32	6
33	12
34	17;
        

param Lambda:= 78;

set LK:= 
(1,2)
(1,3)
(1,4)
(1,5)
(1,6)
(1,7)
(1,8)
(1,9)
(1,11)
(1,12)
(1,13)
(1,14)
(1,18)
(1,20)
(1,22)
(1,32)
(2,3)
(2,4)
(2,8)
(2,14)
(2,18)
(2,20)
(2,22)
(2,31)
(3,4)
(3,8)
(3,9)
(3,10)
(3,14)
(3,28)
(3,29)
(3,33)
(4,8)
(4,13)
(4,14)
(5,7)
(5,11)
(6,7)
(6,11)
(6,17)
(7,17)
(9,31)
(9,33)
(9,34)
(10,34)
(14,34)
(15,33)
(15,34)
(16,33)
(16,34)
(19,33)
(19,34)
(20,34)
(21,33)
(21,34)
(23,33)
(23,34)
(24,26)
(24,28)
(24,30)
(24,33)
(24,34)
(25,26)
(25,28)
(25,32)
(26,32)
(27,30)
(27,34)
(28,34)
(29,32)
(29,34)
(30,33)
(30,34)
(31,33)
(31,34)
(32,33)
(32,34)
(33,34);
